city,hood,mean,stdDev
Vancouver,Downtown,25.644184054825928,26.20089951789126
Vancouver,Hastings-Sunrise,5.744326227726097,4.248386302126798
Vancouver,Kerrisdale,6.1664058824572185,3.6817249889980532
Vancouver,Marpole,6.045115539406192,4.1637148187273985
Vancouver,Oakridge,5.758444327031612,3.9745214452147817
Vancouver,Riley Park,5.810693474932094,2.8158312365307245
Vancouver,South Cambie,6.975587989265249,4.793134396651725
Vancouver,Shaughnessy,6.376554061426876,3.2710333119165824
Vancouver,Victoria-Fraserview,4.934880796668837,2.5043379926836344
Vancouver,Dunbar-Southlands,6.01770628735442,3.0238194480949594
Vancouver,Fairview,10.873854982659642,8.234854219960503
Vancouver,Mount Pleasant,8.829850615003418,6.888106869589457
Vancouver,Renfrew-Collingwood,5.696307164879674,4.649988244507537
Vancouver,West End,16.418180219793904,17.962308899423572
Vancouver,Arbutus Ridge,6.051369044915805,4.0799403138322035
Vancouver,Grandview-Woodland,7.090183137087328,4.313597921963935
Vancouver,Kensington-Cedar Cottage,5.527194680672219,2.8941195401021496
Vancouver,Killarney,5.408756026030665,3.251323261345437
Vancouver,Kitsilano,7.653184691885883,3.7212501314861908
Vancouver,Strathcona,8.740422806614367,6.066016363797179
Vancouver,Sunset,5.4264155682370605,2.7112127765862795
Vancouver,West Point Grey,6.563767451602772,3.1397369782935534
Calgary,Cityscape,6.080246124769717,2.7513058978281326
Calgary,Stoney 1,10.1142113145479,2.6166757168126935
Calgary,Martindale,4.809354767999028,2.3150571189017204
Calgary,Royal Vista,6.555231021709778,2.9023827522243812
Calgary,Hidden Valley,5.3141218447559275,2.2748971543117875
Calgary,Macewan Glen,4.913269405644121,2.018698862079001
Calgary,Edgemont,5.521416946979224,2.278179841545374
Calgary,Saddle Ridge Industrial,6.761955198647814,4.460655964262443
Calgary,Saddle Ridge,5.442783268905863,2.6084886708790136
Calgary,Beddington Heights,4.545989266718115,2.0090063258181567
Calgary,North Haven Upper,4.1117998904766635,2.087152474310388
Calgary,Sandstone Valley,5.051244938342076,2.1303540999083515
Calgary,Nose Hill Park,7.883719812041959,4.125989248740067
Calgary,Sage Hill,6.518016178912474,2.9163039293703776
Calgary,Homestead,,
Calgary,Country Hills,5.4465634742348055,2.6094801236334333
Calgary,Redstone,6.025787977836,2.9530396824824288
Calgary,Deerfoot Business Centre,7.758714064376181,2.7798435858490236
Calgary,Skyview Ranch,6.169143446023238,3.560024303804819
Calgary,Stonegate Landing,8.931169614762029,3.581688667008399
