CMANAME,date,NDBI_count,NDBI_mean,NDBI_median,NDBI_max,NDBI_min,NDBI_stdDev,NDVI_count,NDVI_mean,NDVI_median,NDVI_max,NDVI_min,NDVI_stdDev
Ottawa,2024-06-03T16:00:55.331,4270702,-0.13114441873019989,-0.1836531249007351,0.7718518518518519,-0.5133957743411022,0.15611044211965927,4270702,0.4317690757847755,0.4960843746795435,0.8132875143184422,-0.22923816060398078,0.1859159719964127
Ottawa,2024-06-03T16:00:40.627,17528917,-0.10907786456127813,-0.15237304666804743,0.7917953242170269,-0.5851557322730285,0.16574812320496882,17528917,0.38345728045962996,0.44144859475669496,0.8237451005183968,-0.6802433997448228,0.2145412870711322
Montreal,2024-06-03T16:00:37.246,1428367,-0.0768567746004118,-0.06642124863839785,0.667621776504298,-0.690671031096563,0.11595401503390708,1428367,0.2667399882564236,0.23826271826205409,0.7980424922415851,-0.43934871099050204,0.18326559099151501
Montreal,2024-06-03T16:00:33.534,2277488,-0.06478578925448296,-0.05076378533842833,0.6145327155610804,-0.7034408270328653,0.11391098471703145,2277488,0.24209031124571256,0.2070050350210828,0.7676822047583163,-0.603256760686246,0.17590475871040046
Calgary,2024-06-04T18:50:12.562,6239216,-0.013683566422472995,-0.0117124257672137,0.7337105766830324,-0.6918329561818556,0.10288128636334037,6239216,0.21927900719275517,0.1991920994086093,0.7989718910642021,-0.5192963561299587,0.14443110090857827
Calgary,2024-06-06T18:40:25.390,804564,-0.0201838825666678,-0.01758125644825342,0.41420841333566066,-0.42011319111885065,0.09429439307562376,804564,0.232616423947632,0.21678951572074193,0.7088864968305226,-0.26311263972484955,0.14921090199452355
Calgary,2024-06-06T18:40:19.010,3356349,0.0017654926055602825,0.0019221083820875695,0.47469800848841004,-0.4852371011034894,0.09892349933298765,3356347,0.20869353854086445,0.1835845583551584,0.7177390686100249,-0.43639683505782106,0.14546535017465784
Winnipeg,2024-06-08T17:40:03.910,5756225,-0.0347121603000979,-0.03515765523685715,0.8875485008818342,-0.5531019978969506,0.1252077681720411,5756225,0.25309922409269753,0.23046633397620203,0.7352749402303846,-0.48026315789473684,0.16464481207631243
Calgary,2024-06-11T18:40:23.205,647462,-0.02855875495330422,-0.027364096122072967,0.7034813925570228,-0.41200201714573875,0.09634710759706983,647462,0.24678841722813982,0.23827407335155323,0.8430918768803518,-0.22828934112431998,0.1543055121400998
Calgary,2024-06-11T18:40:16.724,3139541,-0.0015016818876777088,0.0038839612731591104,0.6953140578265204,-0.42751369761587443,0.09747871154436889,3139541,0.2182674518344672,0.1991882257504238,0.8512251400944951,-0.271577044735653,0.1457042490578294
Halifax,2024-06-16T15:20:36.699,4442894,-0.20341366816302475,-0.24614994275420696,0.6573795683837776,-0.7372147915027537,0.13195482747731907,4442894,0.43428575266003894,0.5117734467580749,0.781854665328938,-0.5758858813448259,0.2016661342259074
Halifax,2024-06-16T15:20:32.515,5772698,-0.24624542370831187,-0.2597656557665276,0.34920439126680647,-0.5100307512080832,0.09971710228276341,5772697,0.48535573310630636,0.521487122202122,0.7309627641730962,-0.1875385564466379,0.15315724749196347
Halifax,2024-06-16T15:20:17.942,528199,-0.23004146477058002,-0.24023077093939083,0.17945425361155698,-0.47843530591775324,0.0836829060647378,528199,0.48062018811684476,0.5019296859010747,0.7105294609776502,-0.02704791344667697,0.11784626649668543
Halifax,2024-06-21T15:20:14.450,528199,-0.2299588088533082,-0.24024176073497866,0.19330385344283008,-0.45989558614143333,0.08607972209942412,528199,0.48870938827406196,0.5097523863709674,0.7156286721504113,-0.032909498878085267,0.1173826458561767
Toronto,2024-06-24T16:21:19.286,612,-0.051104907519755535,-0.02846043391236853,0.17647058823529413,-0.377730135334316,0.111922992762456,612,0.24729312843129725,0.21336143931654683,0.6183074265975821,-0.03344523187865225,0.1786226455033268
Toronto,2024-06-24T16:21:15.820,6359579,-0.0997816176856366,-0.09765034584358379,0.7065400843881856,-0.7044360474144624,0.13015902755260583,6359578,0.30573527734262396,0.285147086292747,0.8791277258566979,-0.5958549222797928,0.1943564588812895
Halifax,2024-06-28T15:10:37.412,666398,-0.21139977090998538,-0.24614634189537266,0.6523555349268972,-0.5039622323385601,0.11523624273556174,666398,0.4787223230587893,0.5430202916569979,0.8390804597701149,-0.6337921930982463,0.18164792872702448
Halifax,2024-06-28T15:10:34.257,5772686,-0.2572640961699242,-0.27734948641246404,0.45257452574525747,-0.5505473277527366,0.10688120691651934,5772686,0.508198019385028,0.5566422880391256,0.7490062464508802,-0.2153163152053274,0.16760433327612573
Ottawa,2024-06-28T16:00:56.399,4273347,-0.17962878431392137,-0.2148830525648615,0.7639975170701427,-0.48839621418384543,0.11894767861320495,4273344,0.4957070051069395,0.5332050825366307,0.7438762354963472,-0.22246696035242292,0.14072270769639292
Ottawa,2024-06-28T16:00:41.694,17539494,-0.1566051366132712,-0.19143932991774884,0.7627118644067796,-0.5727303408707392,0.1406745112042245,17539494,0.4408379663832681,0.5039096811948303,0.845360824742268,-0.26656,0.1951231748200051
Montreal,2024-06-28T16:00:38.314,1428367,-0.09820167888098441,-0.0898358284184691,0.7315411065958112,-0.6765669910745802,0.12199579741904334,1428367,0.28614194614149013,0.26169384163902876,0.7704885343968095,-0.35131717597471024,0.19408863821271288
Montreal,2024-06-28T16:00:34.598,2277488,-0.08486394909277693,-0.07421231949459044,0.7972934874541866,-0.6759072580645161,0.12143448027167646,2277488,0.2610590002034999,0.22262838765522208,0.7519274989855268,-0.43976993367039285,0.1891016793427906
Ottawa,2024-07-01T16:10:43.318,2988859,-0.18324030777578443,-0.21681775083473823,0.32766839378238344,-0.49673286354900703,0.13438965770935804,2988859,0.46207601330081843,0.5215011560201256,0.7242011224372924,-0.20244716351501668,0.17537491928298443
Ottawa,2024-07-01T16:10:53.255,4551958,-0.19691634287183435,-0.2305124386194705,0.5447238786621726,-0.4920268084122949,0.11523070623619372,4551958,0.4900454058700383,0.5253960719348878,0.739357080799305,-0.15416666666666667,0.12928646705792265
Ottawa,2024-07-01T16:10:39.164,27066037,-0.17778727536070618,-0.2148905882845994,0.7458820856526184,-0.7266127786644699,0.13497204346029676,27066037,0.4509044843984009,0.5195553467485968,0.8493328610225528,-0.5934407690132881,0.1835950467886563
Halifax,2024-07-03T15:10:37.136,644702,-0.1973195405093394,-0.2227001899383022,0.6490142136634571,-0.5326432022084197,0.10537220275098216,644702,0.46767823988624163,0.5273834334623175,0.881686595342983,-0.623416553929406,0.16845163469160493
Halifax,2024-07-03T15:10:33.976,5772698,-0.24675167159166989,-0.2636803777433114,0.36649597659107536,-0.6070027165710836,0.09282464066532602,5772698,0.4999808595357864,0.5410209872091284,0.7309336780351994,-0.24316546762589927,0.15129754731648337
Halifax,2024-07-03T15:10:19.473,528199,-0.23219215173573038,-0.24415706438333587,0.1949685534591195,-0.4783467343772041,0.07974487069690306,528199,0.5001912499434666,0.5214968110450047,0.7040220385674931,0.0,0.11316984855283846
Vancouver,2024-07-06T19:30:58.157,671545,-0.11369900628285406,-0.10549324608345759,0.7948002093875415,-0.7568106312292359,0.1180745614302618,671545,0.3120798038617826,0.31643393456041624,0.890249433106576,-0.6881930854533594,0.17073908241620503
