CMANAME,date,count,mean,median,max,min,stdDev
Halifax,2024-06-01T15:56:20,366,0.02457832726601045,0.02444092840192796,0.028236926464034022,0.02310755954265431,0.0012382169699480855
Halifax,2024-06-01T17:37:50,608,0.028335409680820264,0.02967161917060687,0.031216123296492017,0.02503909153869588,0.002038543016737903
Montreal,2024-06-01T17:37:50,459,0.03576920417404744,0.035859829972604014,0.03743892908098887,0.02812118828295472,0.0013166425547952983
Ottawa,2024-06-01T17:37:50,3140,0.03451274124008369,0.0347083366050582,0.03853370994332102,0.029402079476949918,0.002043805100636865
Toronto,2024-06-01T17:37:50,2,0.03688478185194358,0.0368847817837931,0.03688478217906588,0.0368847817837931,6.585445079827193E-10
Winnipeg,2024-06-01T17:37:50,795,0.031133986885999748,0.03144608983950961,0.03420056775210842,0.02966563776133005,5.96605368160993E-4
Vancouver,2024-06-01T19:19:20,162,0.028791996964928814,0.028936339537537076,0.029435557261150193,0.027234135195579625,6.581158999402755E-4
Winnipeg,2024-06-01T19:19:20,62,0.027330128268135367,0.02680468798819097,0.028381637210133343,0.02598051956792281,9.80023774870609E-4
Vancouver,2024-06-01T21:00:50,5,0.03585596367642739,0.03585596382503781,0.03585596382618982,0.0358559634228586,0.0
Halifax,2024-06-02T17:18:49,341,0.02839199003386263,0.028871438205875365,0.029136710784336932,0.025909434566307264,0.0012099729693629978
Montreal,2024-06-02T17:18:49,458,0.03395661983762409,0.03355699364902487,0.037825457751776946,0.028709072619652977,0.0023724296768550695
Ottawa,2024-06-02T17:18:49,1055,0.034122919283634985,0.0338393188393429,0.03936684618985869,0.02708904631435568,0.0027793569268255375
Toronto,2024-06-02T17:18:49,122,0.033968634275656606,0.034938480675831676,0.034984499954030294,0.03252589222196991,0.0011556096331886694
Calgary,2024-06-02T19:00:18,264,0.027566253238489775,0.027856340494899896,0.02863944792622909,0.025583284347371855,7.018086538621359E-4
Winnipeg,2024-06-02T19:00:18,464,0.02653087080656138,0.02609005338115717,0.030021456417259045,0.025265473167647517,0.0010608197553860267
Calgary,2024-06-02T20:41:49,1239,0.02583887435531033,0.025796038408809688,0.02772086672489858,0.022853845730379758,0.001346106487736504
Halifax,2024-06-03T16:59:47,254,0.03253858537832425,0.033593226237770946,0.034359295979288135,0.02706961706278482,0.0019661205929215313
Montreal,2024-06-03T16:59:47,459,0.03381192174275308,0.03438785897854469,0.039584469619542456,0.02688308246433434,0.0023355280441609756
Ottawa,2024-06-03T16:59:47,2597,0.032867692480956195,0.032852502252872146,0.03971789136215591,0.027849339704410638,0.0021122003160405686
Toronto,2024-06-03T16:59:47,760,0.03625003556430166,0.03704970316608921,0.03928511589768249,0.03276842087504553,0.0017993686059612122
Calgary,2024-06-03T18:41:17,180,0.027112760428724233,0.027004261674888105,0.02757464642411292,0.02612342675827966,4.54637732307233E-4
Toronto,2024-06-03T18:41:17,786,0.035407327590264846,0.03413671159744506,0.04149010777476302,0.03377461433407867,0.0025580940119164434
Winnipeg,2024-06-03T18:41:17,795,0.03185125867771056,0.03197464089148321,0.03401047363879634,0.027947151062641902,0.001320954557849862
Calgary,2024-06-03T20:22:47,1212,0.022581026333467223,0.021640871077196925,0.026377864182024067,0.01846032554029946,0.0025461251340004203
Vancouver,2024-06-03T20:22:47,68,0.026975507503174023,0.027170300389547476,0.027201278284299652,0.02355284616348249,8.991216956043552E-4
Halifax,2024-06-04T16:40:46,1246,0.02858355201132507,0.028680097617040035,0.0322993513189065,0.02498495951292844,0.001576233948505591
Montreal,2024-06-04T16:40:46,30,0.035168968035179674,0.03589113027149496,0.03589113166103094,0.03384492369828904,0.0010208264030837752
Ottawa,2024-06-04T16:40:46,837,0.034769345673130954,0.035564277286908356,0.03868374354159681,0.03248755878968582,0.00166775897677759
Montreal,2024-06-04T18:22:14,189,0.03674135875493003,0.03598813336262772,0.03833605489656564,0.03598813193879282,0.001066486240542078
Ottawa,2024-06-04T18:22:14,2308,0.03361687674714805,0.03339539845528292,0.03794238343838665,0.03141987067426126,0.0013937061155298476
Toronto,2024-06-04T18:22:14,764,0.03988127414340359,0.04022449520889028,0.04188564539244019,0.03625699035728295,0.0014467997635733978
Winnipeg,2024-06-04T18:22:14,631,0.026784629739815387,0.025492503387461226,0.032475450789408264,0.02128777652494872,0.003002246199564054
Calgary,2024-06-04T20:03:44,1168,0.026155344016577965,0.026511299704254337,0.02803971700818688,0.023928997733967377,0.0011473538081093
Vancouver,2024-06-04T20:03:44,196,0.03315744975454461,0.031887829303742316,0.04035251215107542,0.030674120411217535,0.002920034727104507
Halifax,2024-06-05T16:21:44,1346,0.031918024655692184,0.031928148775010275,0.03596356268577902,0.023743669919103746,0.0021285515260649084
Montreal,2024-06-05T16:21:44,424,0.03383945664040329,0.033848017808188455,0.03724566955324802,0.029459269717311474,0.0020721974752478164
Ottawa,2024-06-05T16:21:44,1441,0.036334255422329174,0.03636434945975446,0.03835026680841022,0.034495881641264686,8.982581902745323E-4
Montreal,2024-06-05T18:03:14,173,0.03725604280124427,0.03743643322253692,0.04027690449717628,0.034065518528222254,0.0015584282806785138
Ottawa,2024-06-05T18:03:14,3546,0.03534313254951324,0.035417825464202225,0.03920238465074638,0.03255845606324379,0.0014889495753570852
Calgary,2024-06-05T19:44:44,1192,0.026586719196578405,0.027116196185367335,0.02997688204055453,0.021532690152484286,0.0020425422928208674
Vancouver,2024-06-05T19:44:44,133,0.03215616079679493,0.03346984643823511,0.03358981527949999,0.029605515301191387,0.0017255726775790555
Vancouver,2024-06-05T21:26:13,185,0.030558022646851916,0.03034142756706189,0.030926222674235726,0.03025188369937676,3.2191353364795206E-4
Halifax,2024-06-06T16:02:43,1187,0.030468489366664665,0.029895284353086075,0.03579383114803073,0.026433996856190876,0.002306705570495821
Montreal,2024-06-06T17:44:14,6,0.03283164620685504,0.03283164630276566,0.032831646589905554,0.03283164540261204,0.0
Ottawa,2024-06-06T17:44:14,1041,0.030257016656412932,0.03038688575047511,0.036665921822527765,0.02558563718854981,0.0025587871357659153
Toronto,2024-06-06T17:44:14,717,0.028510820600226673,0.0291330596441042,0.03252117708327622,0.02299763713020126,0.0023753823047359115
Winnipeg,2024-06-06T17:44:14,769,0.030620048938689536,0.03150868141248195,0.03228044509890918,0.027419641613937715,0.0015265243409570489
Calgary,2024-06-06T19:25:44,1212,0.024034257448719346,0.024026920458923864,0.025829738006042186,0.021315563470084002,0.0010367993086058903
Vancouver,2024-06-06T19:25:44,4,0.02755580818684128,0.027555808276069058,0.027555808572103654,0.027555807640286575,4.656612873077393E-10
Winnipeg,2024-06-06T19:25:44,655,0.03020385689315276,0.030187626510945097,0.03191652992224334,0.027427326887845358,9.7475152021125E-4
Halifax,2024-06-07T15:43:45,680,0.03074604131269429,0.029991810134914927,0.03474153950812821,0.029291655311865415,0.0015320799511399435
Halifax,2024-06-07T17:25:15,510,0.029887456797114038,0.029651255361720048,0.033349571609146283,0.02903805114326473,0.0010353805773060363
Montreal,2024-06-07T17:25:15,351,0.03010793923847918,0.0307251376863414,0.03446262329819187,0.025446480140079226,0.002175907061047076
Ottawa,2024-06-07T17:25:15,1824,0.02896188399365159,0.028936235586995117,0.033902072190445,0.02149283817524416,0.002910203270442577
Toronto,2024-06-07T17:25:15,316,0.025362684476401727,0.0250112954728344,0.03283440721650121,0.022760794175895972,0.002656586843989437
Winnipeg,2024-06-07T17:25:15,213,0.0278393615717392,0.028276661365445425,0.028276662777090306,0.022789598414347002,0.001635117635487042
Calgary,2024-06-07T19:06:45,908,0.02444881689043153,0.023957036635814086,0.028041615433272396,0.02192545995116195,0.001913116856889341
Winnipeg,2024-06-07T19:06:45,400,0.02560146037041265,0.027390339588952192,0.02842988446355684,0.01610816578639623,0.003934049308086329
Calgary,2024-06-07T20:48:14,987,0.02354395264190257,0.022856371184906313,0.026685366407084753,0.021479564771482017,0.0015602939575023369
Vancouver,2024-06-07T20:48:14,194,0.028528016794781393,0.029116702569754384,0.03198019042616871,0.02558048628265682,0.002277877978894514
Halifax,2024-06-08T15:24:45,119,0.026538270124159904,0.02703372764659014,0.027033729004376273,0.025438864520980615,7.427959141364237E-4
Halifax,2024-06-08T17:06:16,125,0.029916382438397515,0.02989544721352243,0.03132800900299737,0.029523365687241877,4.5426704137855207E-4
Montreal,2024-06-08T17:06:16,452,0.030306306525269246,0.030726592203799023,0.034403856843695395,0.02643473446366997,0.0020739074041262596
Ottawa,2024-06-08T17:06:16,2467,0.02762867179994424,0.027271008019954017,0.0405916590999269,0.018507569296809533,0.004251606368332885
Toronto,2024-06-08T17:06:16,28,0.029172596346125505,0.02911243401467733,0.02966942079365185,0.029112432646865746,2.1077133555836533E-4
Winnipeg,2024-06-08T18:47:45,671,0.025994336356672865,0.02604666968467302,0.029164200648685478,0.02418562397360746,0.001310533721296857
Calgary,2024-06-08T20:29:15,117,0.027509034862778548,0.02803935295412217,0.02803935381194521,0.026957408226015465,5.40406786103837E-4
Vancouver,2024-06-08T20:29:15,192,0.026202555540093642,0.026251462164488246,0.0279035065323616,0.02406594529745022,0.001287600858172422
Halifax,2024-06-09T16:47:16,410,0.026830486999261664,0.02704303525388461,0.03021953747239881,0.02213898798724136,0.002411854825059893
Montreal,2024-06-09T16:47:16,40,0.02680211635230613,0.026801755651820292,0.027223297909883152,0.02680175466017552,6.581327213538655E-5
Ottawa,2024-06-09T16:47:16,695,0.028489645397637542,0.028707211321771897,0.03193805096894821,0.024763283511482756,0.001968589728000902
