CMANAME,date,count,mean,median,max,min,stdDev
Montreal,2024-06-01T17:37:50,459,4.786622664332652E-5,4.942076273521007E-5,6.471759115815887E-5,2.4919871066220743E-5,8.410422838025111E-6
Ottawa,2024-06-01T17:37:50,3536,2.797810218763104E-5,2.7986162834572824E-5,4.7007756428918023E-5,1.5221309013201096E-7,9.142856978092085E-6
Toronto,2024-06-01T17:37:50,33,7.061172894485387E-5,6.957098230485958E-5,8.617422454821264E-5,3.887108866185753E-5,8.17201836601627E-6
Winnipeg,2024-06-01T17:37:50,193,8.251364092619302E-6,8.71581112334263E-6,1.3038186610098818E-5,2.654560812565126E-6,4.013938822323634E-6
Montreal,2024-06-02T17:18:49,459,3.768238441555804E-5,3.8405740678059165E-5,7.687264587732381E-5,1.2745242202067014E-5,1.1785844672292588E-5
Ottawa,2024-06-02T17:18:49,888,4.169195134939901E-5,4.2633001850281596E-5,7.617473040206669E-5,1.7601776562500237E-5,1.1280778811527852E-5
Winnipeg,2024-06-02T17:18:49,239,1.757802565734361E-5,1.856072509836916E-5,3.274863775007902E-5,7.497650130965867E-6,7.164989811194742E-6
Calgary,2024-06-02T19:00:18,50,2.1456898541041515E-5,2.527459764677428E-5,2.5274598205813412E-5,3.10084293588795E-6,7.994947885387636E-6
Calgary,2024-06-02T20:41:49,775,2.7710692450558024E-5,2.709649670912509E-5,3.9068290789216206E-5,1.2271550076524293E-5,7.285644854065521E-6
Montreal,2024-06-03T16:59:47,459,1.1521877040653178E-4,1.205980326040331E-4,1.6707720351416926E-4,3.4250297176157826E-5,3.471338135417372E-5
Ottawa,2024-06-03T16:59:47,3546,4.617900323427893E-5,4.70189216870088E-5,7.461081986555828E-5,1.181985226138687E-5,1.0960295412471354E-5
Toronto,2024-06-03T18:41:17,455,7.91028864089703E-5,8.335734284677524E-5,9.378258255319719E-5,5.3325340559196575E-5,1.1040937300624425E-5
Winnipeg,2024-06-03T18:41:17,795,2.395037963320766E-5,2.333646044542896E-5,4.1690000216505276E-5,2.26773886424755E-6,8.343631982133643E-6
Calgary,2024-06-03T20:22:47,393,2.5327889980984264E-5,2.2741311930325426E-5,4.303493551568414E-5,9.89184991338944E-6,1.0102096017796867E-5
Halifax,2024-06-04T16:40:46,771,1.5456288690696073E-5,1.4175135897373906E-5,3.564180951800785E-5,1.9569992977162713E-6,8.079769033086678E-6
Montreal,2024-06-04T16:40:46,42,5.540782316830467E-5,6.783711988704717E-5,8.448543923129657E-5,3.6308338002738244E-5,1.6459957212567672E-5
Ottawa,2024-06-04T16:40:46,1523,2.0592389947608582E-5,2.0157563193944108E-5,4.373086630951825E-5,3.593862924862087E-6,8.737740718460771E-6
Calgary,2024-06-04T18:22:14,1250,2.73083053425009E-5,2.7237895085536963E-5,4.0011433156977626E-5,1.0094175195243724E-5,7.020950279048259E-6
Montreal,2024-06-04T18:22:14,459,8.941421034825835E-5,7.838548459381374E-5,1.4140357961892297E-4,2.522415209591073E-5,3.185288656791971E-5
Ottawa,2024-06-04T18:22:14,887,1.4085189249016567E-5,1.3034282719908588E-5,3.199342245352097E-5,4.875764716414536E-7,7.348515903978295E-6
Toronto,2024-06-04T18:22:14,728,6.035825764760466E-5,5.8399428376912896E-5,1.054016975941985E-4,3.1003011827098784E-5,1.4717821999677896E-5
Calgary,2024-06-04T20:03:44,1145,2.302551220765894E-5,2.4444345745381393E-5,3.950232078759627E-5,5.208658535583646E-7,9.076086535985531E-6
Vancouver,2024-06-04T20:03:44,196,3.215412632222588E-5,3.091451669589637E-5,4.04025455563557E-5,2.4884682716189274E-5,5.513673492747197E-6
Halifax,2024-06-05T16:21:44,988,1.0678245451385338E-5,1.0160664587207822E-5,3.059439768551158E-5,-4.83970416098933E-6,6.627537033983542E-6
Ottawa,2024-06-05T16:21:44,3546,2.2329310464863578E-5,2.259254092563431E-5,3.3662650821520805E-5,4.322732820581214E-6,4.981631181790012E-6
Montreal,2024-06-05T18:03:14,450,4.9730603274923946E-5,5.30658605537543E-5,6.595582817687718E-5,2.3397366021517084E-5,1.0719925573175299E-5
Ottawa,2024-06-05T18:03:14,599,1.6123152518374962E-5,1.625337850786842E-5,3.358149479029215E-5,3.8654347918022765E-6,7.164735395586771E-6
Calgary,2024-06-05T19:44:44,1246,2.632962355755899E-5,2.6758112930464276E-5,5.1509996410510705E-5,-4.970242116551002E-6,9.63933813620278E-6
Vancouver,2024-06-05T19:44:44,29,3.964918145085175E-5,3.6865134540375463E-5,5.568916094490998E-5,3.6865134461478796E-5,5.940507241904929E-6
Vancouver,2024-06-05T21:26:13,160,5.188645392988815E-5,4.2604000135789445E-5,8.473701018389646E-5,3.717110666904865E-5,1.73252513116232E-5
Halifax,2024-06-06T16:02:43,516,1.636303417374642E-5,1.410810099674762E-5,5.669070014850408E-5,-7.67855749102621E-6,1.5376052630931585E-5
Halifax,2024-06-06T17:44:14,109,2.9669325692194754E-5,3.032381537996605E-5,3.461433880149904E-5,2.0389394671694866E-5,2.3609086435820436E-6
Toronto,2024-06-06T17:44:14,159,6.758913400269282E-5,6.787965577286577E-5,7.805386280606851E-5,5.397066477554274E-5,5.638585405121186E-6
Calgary,2024-06-06T19:25:44,1246,4.288291996180558E-5,4.033549299003673E-5,7.337106779646203E-5,1.3995856534148691E-5,1.4630029461195111E-5
Vancouver,2024-06-06T19:25:44,196,3.308377904421548E-5,2.9141028175476656E-5,5.2073401954443255E-5,8.236954272423584E-6,1.2279980740747295E-5
Vancouver,2024-06-06T21:07:13,196,2.3954248946807435E-5,2.3785188245747563E-5,3.943522824560854E-5,1.2426382454571476E-5,6.227557933206211E-6
Montreal,2024-06-07T17:25:15,299,5.155081938410993E-5,5.3702839491824894E-5,7.193875353555484E-5,2.7963973479915693E-5,7.768891101927339E-6
Ottawa,2024-06-07T17:25:15,519,1.6642585171570767E-5,1.6845973175550628E-5,3.885784514639322E-5,2.4884178628770704E-7,7.374382527317016E-6
Winnipeg,2024-06-07T17:25:15,294,1.577681038248412E-5,1.4231626037865328E-5,2.646910797922829E-5,8.742310910740429E-7,9.643682924290077E-6
Calgary,2024-06-07T19:06:45,1242,3.421117741182805E-5,3.407070232926182E-5,6.638534403067738E-5,7.980862619645487E-7,1.3993844032990302E-5
Vancouver,2024-06-07T19:06:45,196,2.480374606650071E-5,2.4501616732747575E-5,4.4144017866533586E-5,6.874287464584442E-6,9.070476579947699E-6
Winnipeg,2024-06-07T19:06:45,218,1.95478710941433E-5,1.979989448000542E-5,2.6357162684422708E-5,7.331719189096306E-6,4.1646735502339235E-6
Calgary,2024-06-07T20:48:14,1250,2.833752455805976E-5,2.8902388667365865E-5,4.479223935058011E-5,9.151643098437219E-6,9.876864154372363E-6
Vancouver,2024-06-07T20:48:14,196,2.698704181043466E-5,2.809517186360539E-5,5.41795088793307E-5,1.1003945473918327E-5,9.618524157804642E-6
Montreal,2024-06-08T17:06:16,107,1.0719255693443783E-5,9.644549944489114E-6,1.9482095021171847E-5,3.962153083241312E-6,2.010535269778831E-6
Ottawa,2024-06-08T17:06:16,4,7.4499202770494525E-6,8.526136249280468E-6,1.5465367809011013E-5,3.966720406960738E-6,4.407131908229079E-6
Toronto,2024-06-08T17:06:16,53,4.474546130755111E-5,4.658545003621318E-5,5.993764259655438E-5,2.8597130949469046E-5,7.16375695650643E-6
Winnipeg,2024-06-08T18:47:45,200,1.7657868273060967E-5,1.839767536757539E-5,3.280254865168168E-5,5.713749481038755E-6,6.943882351037218E-6
Vancouver,2024-06-08T20:29:15,196,3.461814280136984E-5,3.149531046518938E-5,5.585310645993595E-5,1.4900278983958139E-5,1.2836405126147512E-5
Halifax,2024-06-09T16:47:16,16,-1.5419392425635057E-6,-1.5419392411785892E-6,-1.541939227145821E-6,-1.5419392604602137E-6,0.0
Montreal,2024-06-09T16:47:16,3,6.023374682485487E-6,6.023374680807908E-6,6.023374693578045E-6,6.023374680807908E-6,6.563712636189231E-14
Ottawa,2024-06-09T16:47:16,43,1.2282632454971424E-5,1.4270542846795698E-5,1.4270543732375216E-5,8.304826024487304E-6,2.492940438596785E-6
Calgary,2024-06-09T18:28:46,1250,2.387201836292875E-5,2.2329408976784566E-5,3.928726800957307E-5,7.951216635826471E-6,6.7350411573292485E-6
Ottawa,2024-06-09T18:28:46,551,1.1324411269826568E-5,1.2935489484748033E-5,2.371370283073513E-5,-9.366658559890384E-7,6.250918469831083E-6
Winnipeg,2024-06-09T18:28:46,787,2.3006658152010657E-5,2.290870312833398E-5,3.583439320211899E-5,1.1595705178729017E-5,5.899523858605921E-6
Calgary,2024-06-09T20:10:15,1031,1.9879643142034946E-5,1.8768861671963003E-5,3.517578475916361E-5,4.981477104590962E-6,6.4149394486825656E-6
Vancouver,2024-06-09T20:10:15,196,3.2394410284475057E-5,2.9838175956971413E-5,5.0942815695908125E-5,2.516345557520816E-5,6.935537754734683E-6
Halifax,2024-06-10T16:28:15,1001,2.4436497387595274E-5,2.4262336260113262E-5,4.866113522442609E-5,3.1318030644808114E-6,9.64746854740116E-6
Winnipeg,2024-06-10T18:09:45,449,1.8695382455468516E-5,1.8966371809727823E-5,3.787404421022218E-5,2.6873519800552183E-6,7.77668747739552E-6
Calgary,2024-06-10T19:51:15,140,5.365963528936101E-5,5.9059938696095434E-5,5.9636535297678426E-5,2.0391408040370462E-5,9.166674666573856E-6
Vancouver,2024-06-10T19:51:15,196,5.9802722541348524E-5,5.9829213756662143E-5,7.283770341716545E-5,4.654403528542158E-5,5.90215288269522E-6
Vancouver,2024-06-10T21:32:45,196,4.795590578993294E-5,4.357242136787759E-5,6.88908112353021E-5,2.2321242795414953E-5,1.2934667797017544E-5
Halifax,2024-06-11T16:09:16,1147,1.7774117680393292E-5,1.8397382080200673E-5,4.033175252161373E-5,-1.0863758689091094E-5,9.585023794833043E-6
Toronto,2024-06-11T17:50:45,421,7.946225948729484E-5,8.36122061576373E-5,1.268797786905825E-4,1.7466411357064983E-5,1.9233554575725888E-5
Calgary,2024-06-11T19:32:16,8,2.5819645980296162E-5,2.5790319341456787E-5,2.6281079192177197E-5,2.5790319341436174E-5,1.6230352779693608E-7
Vancouver,2024-06-11T19:32:16,27,2.4083907284838804E-5,2.4113423933165568E-5,2.4610248641398174E-5,1.639949024661097E-5,1.5842021486123358E-6
Vancouver,2024-06-11T21:13:46,86,1.8015762529712003E-5,1.7450955053124883E-5,2.6002331651426248E-5,8.932697481115455E-6,4.073744801404118E-6
Halifax,2024-06-12T15:50:15,66,6.406441965594523E-6,5.642615322033327E-6,2.7074733643391435E-5,3.31914611706179E-6,3.517705655100041E-6
Halifax,2024-06-12T17:31:45,465,1.9181980344395477E-5,1.976312229601575E-5,2.6245006665721882E-5,8.510290172118679E-6,4.288595113549434E-6
Ottawa,2024-06-12T17:31:45,26,6.898916239252002E-6,4.887972409052551E-6,2.3912954929999683E-5,4.887972409049078E-6,7.42636493044012E-6
Toronto,2024-06-12T17:31:45,757,6.11783489763885E-5,5.409707955541629E-5,1.344042102573289E-4,2.5208277293121028E-5,2.2000891984750032E-5
Winnipeg,2024-06-12T17:31:45,795,2.098722145036196E-5,1.8767019378669464E-5,3.2259071304029396E-5,1.0682500032990302E-5,6.694147841199144E-6
Calgary,2024-06-12T19:13:15,1004,1.9500740051803238E-5,1.6802443153416564E-5,3.436633051027554E-5,4.959068522625468E-8,7.915274147215111E-6
Winnipeg,2024-06-12T19:13:15,795,3.16759928788646E-5,3.131617659717059E-5,5.19535278727192E-5,8.470832653980379E-6,9.014601534810336E-6
