CMANAME,date,count,mean,median,max,min,stdDev
Montreal,2024-06-01T17:37:50,459,0.16201666451138813,0.16211979789644915,0.163274019956701,0.1607574373482978,5.872946570346487E-4
Ottawa,2024-06-01T17:37:50,3207,0.15745896911536736,0.15754813112701546,0.1596107035876914,0.1548421233891786,8.36296885178072E-4
Winnipeg,2024-06-01T17:37:50,110,0.1801705143782458,0.17992563997768665,0.18175151944160042,0.17955867901890118,5.061983748128437E-4
Montreal,2024-06-02T17:18:49,459,0.16359435988009424,0.1635201345572663,0.16607642173778506,0.16176481544964624,8.094829571368659E-4
Ottawa,2024-06-02T17:18:49,65,0.16703744250612385,0.16710063465338093,0.16808885335933796,0.16526998145220784,0.0010093985840914025
Winnipeg,2024-06-02T17:18:49,117,0.1714109160353356,0.17096834062946906,0.17280597984808052,0.16981343924992057,8.869389830980231E-4
Montreal,2024-06-03T16:59:47,459,0.17181253396872806,0.17177248107372087,0.17320492863666997,0.1700851172208067,7.920725912093004E-4
Ottawa,2024-06-03T16:59:47,3546,0.16892544926604633,0.16892347436195726,0.1720236390830269,0.1659936010836853,0.001039121781450126
Winnipeg,2024-06-03T18:41:17,795,0.16957105008094872,0.1695477421791345,0.17133882566287928,0.16783645749085005,8.430770035434433E-4
Halifax,2024-06-04T16:40:46,648,0.1674703966963647,0.16751553452567577,0.16996026039128426,0.16056342101632023,9.497407220799803E-4
Ottawa,2024-06-04T16:40:46,1050,0.16261225108147265,0.16259477933865354,0.16420736908923947,0.16129335761056987,9.037495406554099E-4
Calgary,2024-06-04T18:22:14,1250,0.16095995565763724,0.1607569968430337,0.16452626884013188,0.1582159847018045,0.001323043494023016
Calgary,2024-06-04T20:03:44,788,0.15760830939180367,0.1574755064787192,0.16129052639036562,0.15488499402969944,0.0014254011561184161
Vancouver,2024-06-04T20:03:44,170,0.15030592927280725,0.15045055694724666,0.15256458520916708,0.14874355494957867,0.0011216462758947877
Halifax,2024-06-05T16:21:44,705,0.15839413920029333,0.1568977694482253,0.1639195829631025,0.15257257223116724,0.0035960460575794645
Ottawa,2024-06-05T16:21:44,3404,0.15630534407312685,0.15629439307595483,0.15825797617446336,0.15380071103566342,7.680162188218006E-4
Montreal,2024-06-05T18:03:14,74,0.1617759278052003,0.1617965354446182,0.16242168874197216,0.161081701517037,5.481377699372154E-4
Calgary,2024-06-05T19:44:44,1236,0.15115743961768754,0.15135596662629494,0.15369270741967173,0.14785398542862943,9.90792742697998E-4
Vancouver,2024-06-05T19:44:44,6,0.1575055660040493,0.15734654665010392,0.15806497018630297,0.15707890067095537,3.036719576006741E-4
Halifax,2024-06-06T16:02:43,430,0.16398965607909627,0.16203857019124515,0.1694861799479696,0.16017336231459325,0.0035286251648566913
Toronto,2024-06-06T17:44:14,31,0.16120237036029186,0.16089659294327263,0.16182425618182816,0.16007238626478312,5.820556161771133E-4
Calgary,2024-06-06T19:25:44,1250,0.15745273389126604,0.1577318408444353,0.1600897163154435,0.1544809788463612,0.0013459731824891944
Vancouver,2024-06-06T19:25:44,196,0.16491667389680115,0.16485548019408316,0.1654121577742689,0.16364104418539072,2.6230906874213027E-4
Vancouver,2024-06-06T21:07:13,45,0.16337350938687387,0.1634239605099052,0.16422747545480443,0.16297174990157237,3.669866725810552E-4
Montreal,2024-06-07T17:25:15,238,0.16863976613186415,0.16865029857130392,0.17005281150352725,0.16698276996605488,9.034269090448689E-4
Ottawa,2024-06-07T17:25:15,211,0.16529464679606373,0.16562814004568388,0.16738286614422845,0.16408279538147663,8.980612240127206E-4
Winnipeg,2024-06-07T17:25:15,243,0.17381830541223595,0.1736632167216467,0.17550030350697185,0.17224666476235528,7.978900500284799E-4
Calgary,2024-06-07T19:06:45,1236,0.18279050634853464,0.1829379874120533,0.18491399288210733,0.1778031256534848,9.672396742320857E-4
Vancouver,2024-06-07T19:06:45,196,0.1486178383754056,0.14832718924489208,0.15034997463253347,0.14688363671274407,0.001029319943130547
Winnipeg,2024-06-07T19:06:45,87,0.17912425821134045,0.17891448736190968,0.1797950565816208,0.17759302258482432,5.971210560682251E-4
Calgary,2024-06-07T20:48:14,130,0.1791836530447493,0.17914830148222094,0.18143029956908296,0.1773331966130714,0.0012062521771028277
Vancouver,2024-06-07T20:48:14,196,0.14726313330617663,0.1473343687974236,0.1485958099365662,0.14665128290647028,4.101417170750378E-4
Montreal,2024-06-08T17:06:16,44,0.17346482741311475,0.1733723133802913,0.17384395003330738,0.1727955255501352,2.673116237850226E-4
Vancouver,2024-06-08T20:29:15,196,0.13945691620729253,0.13933252107049246,0.14075870811933286,0.13859571516487038,5.748490873448898E-4
Ottawa,2024-06-09T16:47:16,14,0.18489594110404772,0.18486335873601753,0.18520349310312295,0.18486335873596002,8.759799295092758E-5
Calgary,2024-06-09T18:28:46,1249,0.147320749657903,0.14733101210564656,0.14927579462555063,0.14418429904059976,0.0010326687178571225
Winnipeg,2024-06-09T18:28:46,784,0.16123541209723335,0.1614543928032673,0.1632990390062802,0.15867212275860965,9.782227060510464E-4
Calgary,2024-06-09T20:10:15,209,0.14714192337995474,0.14713646437721092,0.1505217850207646,0.14599618315678872,8.597841629481796E-4
