CMANAME,date,count,mean,median,max,min,stdDev
Montreal,2024-06-01T17:37:50,460,2.7439539211071575E-5,1.595373191953538E-4,0.0011763701913873347,-9.637155938693966E-4,5.259858403665066E-4
Ottawa,2024-06-01T17:37:50,3039,-4.1037445776468954E-5,-8.154414729501705E-5,0.0011783562625706857,-9.481912129561352E-4,4.660830515628932E-4
Winnipeg,2024-06-01T17:37:50,110,-1.9334218171288708E-4,-7.627997583703977E-7,8.795634012736476E-4,-9.116450091833036E-4,4.0295670068879783E-4
Montreal,2024-06-02T17:18:49,430,-5.0517120677167035E-6,-3.812833355876286E-5,0.0018016152316722377,-8.550385828135825E-4,6.252976736273158E-4
Ottawa,2024-06-02T17:18:49,53,4.0217411867648405E-4,8.840704059095389E-4,9.322091832399226E-4,-6.111562252048879E-4,6.975732638561196E-4
Winnipeg,2024-06-02T17:18:49,94,0.0012057088228407925,0.0011615345191570222,0.0027580970421038327,-9.053039503915132E-4,7.1547937335776E-4
Calgary,2024-06-02T19:00:18,3,-3.1762293085806294E-5,-3.0506259741405358E-5,-3.0506257336307603E-5,-3.639392077832096E-5,2.7754705965743646E-6
Montreal,2024-06-03T16:59:47,411,1.2925055094510852E-4,1.8246570039148744E-4,0.0014783269389200993,-7.727058837195582E-4,4.064252827124454E-4
Ottawa,2024-06-03T16:59:47,3470,2.7466708141922933E-5,-3.5355255295248906E-5,0.0014916250947877754,-9.753989288590104E-4,5.236164303933081E-4
Winnipeg,2024-06-03T18:41:17,766,-1.0462714283877877E-4,-1.1727943326205658E-4,0.0012371256016203325,-8.508398896089085E-4,4.298984296235081E-4
Halifax,2024-06-04T16:40:46,648,4.5843998133617895E-6,9.016871979719467E-6,9.125203941954985E-4,-8.189544314526747E-4,4.223774154596073E-4
Ottawa,2024-06-04T16:40:46,1052,1.1049957187496889E-4,1.901320046194882E-4,0.0011424936819816765,-8.437276701448698E-4,4.319485954110279E-4
Calgary,2024-06-04T18:22:14,1099,7.901550190227359E-4,6.822550145635291E-4,0.002785607288720731,-4.5050788321477253E-4,9.326091715926126E-4
Calgary,2024-06-04T20:03:44,808,-1.715895811636187E-4,-1.4870562909781264E-4,9.712831233645554E-4,-9.012730442935039E-4,3.678585977135574E-4
Vancouver,2024-06-04T20:03:44,170,-9.429822848715491E-5,-1.794737471492081E-4,6.869956851013023E-4,-4.208496445949371E-4,2.8406421169292425E-4
Halifax,2024-06-05T16:21:44,725,-9.234566620982474E-5,-4.194927227473996E-5,8.534354210818805E-4,-8.949848706840171E-4,3.910903151769033E-4
Ottawa,2024-06-05T16:21:44,3398,8.825884903219791E-5,3.7424997683732666E-5,0.0013538872590297827,-8.735145092947826E-4,5.515973887389958E-4
Montreal,2024-06-05T18:03:14,75,-2.2569530266741933E-4,-2.3494384081157557E-4,7.769746589471094E-4,-4.957156488675306E-4,3.5002688287240016E-4
Calgary,2024-06-05T19:44:44,1187,-8.518193075021754E-5,-1.1460962481845392E-4,0.001165205147119471,-9.129389994649543E-4,3.7992386748898375E-4
Vancouver,2024-06-05T19:44:44,9,-7.458598792856677E-5,-4.710894074811501E-5,-4.710893911072917E-5,-1.6809473839738323E-4,3.870861618050964E-5
Halifax,2024-06-06T16:02:43,346,2.917867257419368E-4,2.559686179581436E-4,0.0015893431190633868,-5.539374540584766E-4,5.21875491493465E-4
Toronto,2024-06-06T17:44:14,41,4.444202244765669E-4,2.0710090947229616E-4,0.0011649214429788849,-1.2794816770314194E-4,5.784119551361382E-4
Calgary,2024-06-06T19:25:44,1250,2.7255460801316113E-4,2.543615579191662E-4,0.0019732867367601107,-9.885765612136143E-4,6.784640042608436E-4
Vancouver,2024-06-06T19:25:44,194,5.802721221963994E-4,7.832137358927915E-4,0.0024270396679683445,-3.7687784793174925E-4,8.69136299347117E-4
Vancouver,2024-06-06T21:07:13,16,-6.81699216426301E-4,-9.05516411112213E-4,6.689001359529044E-4,-9.069442749039742E-4,4.4242063834975143E-4
Montreal,2024-06-07T17:25:15,242,-1.3034787103096408E-4,-3.717245919247017E-5,9.025860344997293E-4,-7.498575723735183E-4,4.060842891624737E-4
Ottawa,2024-06-07T17:25:15,247,1.9643423231967554E-4,1.0830934264780364E-4,7.599309901712098E-4,-2.826349880018778E-4,3.0907367975791823E-4
Winnipeg,2024-06-07T17:25:15,257,8.184675025481356E-4,3.885271153508046E-4,0.0028457655024977727,1.87025932331652E-5,8.976147096720758E-4
Calgary,2024-06-07T19:06:45,1216,2.695074413162563E-4,2.2102587838697082E-4,0.0013945425162105772,-9.042070596495134E-4,4.814823157098759E-4
Vancouver,2024-06-07T19:06:45,158,0.002855895091944042,0.0033357307462358898,0.0037495291326262404,-4.774329047849803E-4,0.0010761043274272936
Winnipeg,2024-06-07T19:06:45,93,-2.729667248352177E-4,-9.084749869757722E-5,3.392420865099914E-4,-9.706274140635882E-4,3.009152992837543E-4
Calgary,2024-06-07T20:48:14,130,8.59291744820614E-4,5.630705085548552E-4,0.0024152847472621707,-2.3428704298609143E-4,0.0010037591101982651
Vancouver,2024-06-07T20:48:14,170,-2.847601627580944E-5,7.180774991867537E-5,0.001244923857448694,-8.914638222492773E-4,6.544286391505928E-4
Montreal,2024-06-08T17:06:16,52,1.188214108942845E-4,1.2489173813803967E-4,4.274869570511538E-4,-3.827814557385655E-4,3.14645469057973E-4
Vancouver,2024-06-08T20:29:15,195,-1.7743816873808563E-4,-3.2471622554548123E-4,0.0011242032051106635,-6.929863011476934E-4,4.8008490718905796E-4
Ottawa,2024-06-09T16:47:16,24,1.4350364871271377E-4,1.4890433521951542E-4,1.4890434251185066E-4,9.114249903311E-5,1.4941767790572732E-5
Calgary,2024-06-09T18:28:46,1015,3.9407153755062133E-4,4.2138188532267544E-4,0.002608606358992909,-9.701494515890544E-4,8.520599886474672E-4
Winnipeg,2024-06-09T18:28:46,784,8.700669245057113E-5,8.434038581843672E-5,0.0014398237690322186,-8.292482234543302E-4,4.330748470596074E-4
