CMANAME,date,count,mean,median,max,min,stdDev
Halifax,2024-06-01T15:56:20,1430,-1.2673058063016596,-1.2273505774356945,-0.29555630683886425,-2.861665010453094,0.6525050319519962
Halifax,2024-06-01T17:37:50,1430,0.049765072542783076,-0.009613918332804467,1.4517786502852628,-1.179380242621349,0.6775649593339903
Montreal,2024-06-01T17:37:50,459,0.07416413413239878,0.11103557929294078,0.2775656878950983,-0.44143080711395094,0.18902600831029923
Ottawa,2024-06-01T17:37:50,3546,-0.11910514405199008,-0.15948285213410812,0.5250113606458183,-0.6511196494106954,0.24296069993344294
Toronto,2024-06-01T17:37:50,799,-1.207403250239085,-1.2885953837267734,-0.5513211488721423,-1.5093362331400757,0.19278234766282187
Winnipeg,2024-06-01T17:37:50,795,-1.1389523534445716,-1.0333421235876172,-0.5144711732862204,-1.6882386207585425,0.27550154550763367
Calgary,2024-06-01T19:19:20,1250,-1.0708172622244916,-1.0522248371525176,-0.8857640027996132,-1.5032148361222397,0.12979213965455613
Vancouver,2024-06-01T19:19:20,196,-1.4935007393956419,-1.4248226851608874,-1.1239693164820685,-1.8778516054173857,0.23947610215502035
Winnipeg,2024-06-01T19:19:20,795,0.013712886438036614,0.14413035346604564,0.7479535937314407,-0.9702314734465594,0.48075113774978234
Calgary,2024-06-01T21:00:50,1250,-0.2406915196680201,-0.24028895331167097,0.12635630369209117,-0.5511723160749216,0.15236067988000515
Vancouver,2024-06-01T21:00:50,196,-0.1509260450434058,-0.1805549263953881,0.09426219761388557,-0.8823102806879665,0.23148565348560518
Halifax,2024-06-02T15:37:19,1430,-1.1236299792211557,-1.0872852100078383,-0.8730294704430076,-1.6592640876786584,0.1639093961072952
Halifax,2024-06-02T17:18:49,1430,-0.3255336121014297,-0.36433051536125016,0.3836632072928205,-0.8191904425626664,0.24407166065918892
Montreal,2024-06-02T17:18:49,459,0.1542152389991571,0.25479968094833844,0.47037732601198107,-0.7543427944188535,0.2528481847030281
Ottawa,2024-06-02T17:18:49,3546,-1.2132035117477,-1.267595853960648,-0.6649944170759535,-1.6139909029018054,0.21715009237646593
Toronto,2024-06-02T17:18:49,799,-0.621157824285078,-0.6258791628764585,-0.1428462415933005,-1.6162395477299574,0.24903682095825458
Winnipeg,2024-06-02T17:18:49,795,-0.5000066673237448,-0.47426422511512534,-0.2470042432972411,-0.8247343301775445,0.13726955148017592
Calgary,2024-06-02T19:00:18,1250,-0.9477405321964097,-0.6789054496707488,-0.003415988059710262,-2.8679208755524344,0.8759410764429396
Winnipeg,2024-06-02T19:00:18,795,-0.9050292101510842,-0.877465988926754,-0.4852692186830376,-1.2982941473507974,0.18458340819834437
