FinalName,SM (mg or g for 1000seeds),Data from Kew,Data from other sources
Abies grandis,24.36,Kew 2022,
Abies nordmanniana,62.28,Kew 2022,
Abies procera,34.9,Kew 2022,
Acer argutum,20.6,Kew 2022,
Acer barbatum,29.17,Kew 2022,
Acer capillipes,13.69,Kew 2022,
Acer cappadocicum,84.2,Kew 2022,
Acer circinatum,75.7,Kew 2022,
Acer cissifolium,24.7,Kew 2022,
Acer davidii,28.9,Kew 2022,"Daws, M. I., Beardmore, T. L., & Pritchard, H. W. (2007). Are There Any Recalcitrant Seeded Acer L. Species? Evidence Based on Seed Mass and Physiological Characterisation. Recent Advances in Seed Physiology and Technology, 16."
Acer glabrum,35,Kew 2022,
Acer henryi,19.2,No Kew data,"Kaliniewicz, Z., Markowski, P., Anders, A. (2017). An analysis of variations and correlations between the physical properties of samaras of 11 maple species. Acta Agroph., 24(4), 567-578."
Acer japonicum,32.15,Kew 2022,
Acer x freemanii,,No Kew data,"Simovic, M. (2020). Functional Ecology and Ecosystem Services of Urban Trees [Master's thesis, Cleveland State University]. OhioLINK Electronic Theses and Dissertations Center. http://rave.ohiolink.edu/etdc/view?acc_num=csu1599128381542917"
Aesculus parviflora,,No Kew data,No sources found
Aesculus pavia,6843,Kew 2022,"Krahulcová, A., Trávnícek, P., Krahulec, F., & Rejmánek, M. (2017). Small genomes and large seeds: chromosome numbers, genome size and seed mass in diploid Aesculus species (Sapindaceae). Annals of botany, 119(6), 957–964. https://doi.org/10.1093/aob/mcw261"
Aesculus x arnoldiana,,No Kew data,No sources found
Aesculus x bushii,,No Kew data,No sources found
Aesculus x carnea,,No Kew data,No sources found
Amelanchier grandiflora,,No Kew data,No sources found
Amelanchier x grandiflora,,No Kew data,No sources found
Araucaria araucana,4235,Kew 2022,
Arbutus unedo,3.96,Kew 2022,
Aria rupicola,,No Kew data,No sources found
Betula utilis subsp. albosinensis,,No Kew data,No sources found
Betula utilis subsp. jacquemontii,,No Kew data,No sources found
Betula x 'Crimson frost',,No Kew data,No sources found
Calocedrus decurrens,28.6,Kew 2022,
Carpinus japonica,4.37,Kew 2022,
Catalpa ovata,2.34,Kew 2022,
Catalpa x erubescens,,No Kew data,No sources found
Catalpa x hybrida,,No Kew data,No sources found
Cedrus atlantica,72.3,Kew 2022,
Cedrus deodara,112.7,Kew 2022,
Cercis chinensis,35.4,Kew 2022,
Chamaecyparis lawsoniana,3.4,Kew 2022,
Chilopsis linearis,6.5,Kew 2022,
Chitalpa x tashkentensis,,No Kew data,No sources found
Cornus capitata,36.9,Kew 2022,
Cornus mas,210,Kew 2022,
Cornus officinalis,140.03,Kew 2022,
Cornus racemosa,28.2,Kew 2022,
Corylus maxima,3880,No Kew data,"Pliestic, S., Dobricevic, N., Filipovic, D., & Gospodaric, Z. (2006). Physical Properties of Filbert Nut and Kernel. Biosystems Engineering, 93(2), 173‑178. https://doi.org/10.1016/j.biosystemseng.2005.11.008"
Crataegus canadensis,,No Kew data,No sources found
Crataegus douglasii,24.43,Kew 2022,
Crataegus monogyna,88.62,Kew 2022,
Crataegus monogyna,88.62,Kew 2022,
Crataegus rotundifolia,,No Kew data,No sources found
Crataegus succulenta,22.11,Kew 2022,
Crataegus x mordensis,,No Kew data,No sources found
Cryptomeria japonica,4.1,Kew 2022,
Cupressocyparis x leylandii,,No Kew data,No sources found
Davidia involucrata,3448,Kew 2022,
Euonymus europaeus,39,Kew 2022,
Fagus crenata,146.5,Kew 2022,
Frangula purshiana subsp. purshiana,33.6,Kew 2022,
Fraxinus angustifolia subsp. oxycarpa,63.33,Kew 2022,
Fraxinus bungeana,,No Kew data,No sources found
Fraxinus chinensis,,No Kew data,No sources found
Fraxinus griffithii,,No Kew data,No sources found
Fraxinus insularis,,No Kew data,No sources found
Fraxinus longicuspis,,No Kew data,No sources found
Fraxinus stylosa,,No Kew data,No sources found
Fraxinus x 'Northern Gem',,No Kew data,No sources found
Halesia tetraptera var. monticola,344.2,Kew 2022,
Hibiscus syriacus,15.5,Kew 2022,
Ilex aquifolium,28.92,Kew 2022,
Ilex x meserveae,,No Kew data,No sources found
Karpatiosorbus latifolia,,No Kew data,No sources found
Koelreuteria paniculata,119.1,Kew 2022,
Laburnum alpinum,26.5,Kew 2022,
Laburnum anagyroides,34.6,Kew 2022,
Laburnum x watereri ,22.6,Kew 2022,
Laurus nobilis,654.27,Kew 2022,
Liriodendron chinense,28.5,No Kew data,"Kan-Kan, S., Kun, S., Liang-Jun, D. (2016). Ecology of Relict Tertiary Deciduous Trees in Subtropical China. In: Box, E. (eds) Vegetation Structure and Function at Multiple Spatial, Temporal and Conceptual Scales. Geobotany Studies. Springer, Cham. https://doi.org/10.1007/978-3-319-21452-8_5"
Magnolia acuminata var. acuminata,,No Kew data,No sources found
Magnolia campbellii,70.92,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia cavaleriei var. platypetala,,No Kew data,No sources found
Magnolia cylindrica,50.89473684,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia dawsoniana,158.5,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia denudata,156.6736066,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia ernestii,118.05,Kew 2022,
Magnolia grandiflora,76.56,Kew 2022,
Magnolia insignis,54.809,Kew 2022,
Magnolia liliiflora,137.4918033,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia officinalis,155.3,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia salicifolia,143.7936842,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia sargentiana,,No Kew data,No sources found
Magnolia sprengeri,,No Kew data,No sources found
Magnolia x kewensis,,No Kew data,No sources found
Magnolia x loebneri ,108.4375,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
Magnolia x soulangeana ,230.55,No Kew data,"Watkins, H., Hirons, A., Sjöman, H., Cameron, R., & Hitchmough, J. D. (2021). Can Trait-Based Schemes Be Used to Select Species in Urban Forestry?. Frontiers in Sustainable Cities, 3, 21."
