Column,X_DatasetID,Dataset,TRYreference,Primary Reference,AccSpeciesName,ObservationID,ObsDataID,DataName,OrigValueStr,OrigUnitStr,ValueKindName,LifeStage,Replicates,StdValue,UnitName,ErrorRisk,Comment,AuteurID,TraitAcc,StandardError,TraitID,TraitName,LastName,FirstName,SpeciesName,AccSpeciesID,DataID,OriglName,OrigUncertaintyStr,UncertaintyName,RelUncertaintyPercent,OrigObsDataID,Localisation_approximative_des_mesures_prises,prototole_utilise,a_prioriser,commentaires,notes_sur_travail_a_faire,CleUniqBDD,CleUniqDataset
71,342,Photosynthesis Traits Worldwide,"Maire V, Ian J. Wright, I. Colin Prentice, Niels H. Batjes, Radika Bhaskar, Peter M. van Bodegom, Will K. Cornwell, David Ellsworth, Ülo Niinemets, Alejandro Ordoñez, Peter B. Reich, Louis S. Santiago (2015). Global soil and climate effects on leaf photosynthetic traits and rates. Global Ecology and Biogeography 24(6): 706-717. Maire V, Wright IJ, Prentice IC, Batjes NH, Bhaskar R, van Bodegom PM, Cornwell WK, Ellsworth D, Niinemets Ü, Ordoñez A, Reich PB, Santiago LS (2015) Data from: Global effects of soil and climate on leaf photosynthetic traits and rates. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.j42m7","Koike, F. (2001), Plant traits as predictors of woody species dominance in climax forest communities. Journal of Vegetation Science, 12: 327-336. https://doi.org/10.2307/3236846                                                                                                                                                                                    Wright, I., Reich, P., Westoby, M. et al. The worldwide leaf economics spectrum. Nature 428, 821–827 (2004). https://doi.org/10.1038/nature02403",Cercidiphyllum japonicum,2501647,20641790,SLA: undefined if petiole in- or excluded (1),138.8889,cm2 g-1,Single,Sapling,,13.88889,mm2 mg-1,0.02872,,Lauren,SLA,,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",Maire,Vincent,Cercidiphyllum japonicum,11849,6598,SLA,,,,,,,,,,,
72,209,"Leaf Area, Dry Mass and SLA Dataset","Long, Wenxing & Zang, Runguo & Schamp, Brandon & Ding, Yi. (2011). Within- and among-species variation in specific leaf area drive community assembly in a tropical cloud forest. Oecologia. 167. 1103-1113. 10.1007/s00442-011-2050-9. ",,Lonicera tatarica,1418790,10368631,SLA: petiole included,234.0472,cm2/g,Single,Unknown,,23.40472,mm2 mg-1,0.884844,,Lauren,SLA,,3116,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Schamp,Brandon,Lonicera tatarica,34165,6583,Specific Leaf Area,,,,,,,,,,,
73,209,"Leaf Area, Dry Mass and SLA Dataset","Long, Wenxing & Zang, Runguo & Schamp, Brandon & Ding, Yi. (2011). Within- and among-species variation in specific leaf area drive community assembly in a tropical cloud forest. Oecologia. 167. 1103-1113. 10.1007/s00442-011-2050-9. ",,Lonicera tatarica,1418791,10368638,SLA: petiole included,230.5072,cm2/g,Single,Unknown,,23.05072,mm2 mg-1,0.858635,,Lauren,SLA,,3116,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Schamp,Brandon,Lonicera tatarica,34165,6583,Specific Leaf Area,,,,,,,,,,,
74,209,"Leaf Area, Dry Mass and SLA Dataset","Long, Wenxing & Zang, Runguo & Schamp, Brandon & Ding, Yi. (2011). Within- and among-species variation in specific leaf area drive community assembly in a tropical cloud forest. Oecologia. 167. 1103-1113. 10.1007/s00442-011-2050-9. ",,Lonicera tatarica,1418792,10368645,SLA: petiole included,221.7212,cm2/g,Single,Unknown,,22.17212,mm2 mg-1,0.791805,,Lauren,SLA,,3116,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Schamp,Brandon,Lonicera tatarica,34165,6583,Specific Leaf Area,,,,,,,,,,,
76,307,Hokkaido leaf traits,"Mori, A. S., Shiono, T., Haraguchi, T. F., Ota, A. T., Koide, D., Ohgue, T., Kitagawa, R., Maeshiro, R., Aung, T. T., Nakamori, T., Hagiwara, Y., Matsuoka, S., Ikeda, A., Hishi, T., Hobara, S., Mizumachi, E., Frisch, A., Thor, G., Fujii, S., Osono, T. and Gustafsson, L. (2015), Functional redundancy of multiple forest taxa along an elevational gradient: predicting the consequences of non-random species loss. J. Biogeogr., 42: 1383–1396. doi:10.1111/jbi.12514",,Magnolia kobus,2499522,20542541,SLA: undefined if petiole in- or excluded (1),37621.08,mm2/g,Single,Unknown,,37.62108,mm2 mg-1,2.36914,,Lauren,SLA,,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",Mori,Akira,Magnolia kobus,35037,6598,SLA,,,,,,,,,,,
77,307,Hokkaido leaf traits,"Mori, A. S., Shiono, T., Haraguchi, T. F., Ota, A. T., Koide, D., Ohgue, T., Kitagawa, R., Maeshiro, R., Aung, T. T., Nakamori, T., Hagiwara, Y., Matsuoka, S., Ikeda, A., Hishi, T., Hobara, S., Mizumachi, E., Frisch, A., Thor, G., Fujii, S., Osono, T. and Gustafsson, L. (2015), Functional redundancy of multiple forest taxa along an elevational gradient: predicting the consequences of non-random species loss. J. Biogeogr., 42: 1383–1396. doi:10.1111/jbi.12514",,Magnolia kobus,2499523,20542548,SLA: undefined if petiole in- or excluded (1),44604.49,mm2/g,Single,Unknown,,44.60449,mm2 mg-1,2.91613,,Lauren,SLA,,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",Mori,Akira,Magnolia kobus,35037,6598,SLA,,,,,,,,,,,
78,307,Hokkaido leaf traits,"Mori, A. S., Shiono, T., Haraguchi, T. F., Ota, A. T., Koide, D., Ohgue, T., Kitagawa, R., Maeshiro, R., Aung, T. T., Nakamori, T., Hagiwara, Y., Matsuoka, S., Ikeda, A., Hishi, T., Hobara, S., Mizumachi, E., Frisch, A., Thor, G., Fujii, S., Osono, T. and Gustafsson, L. (2015), Functional redundancy of multiple forest taxa along an elevational gradient: predicting the consequences of non-random species loss. J. Biogeogr., 42: 1383–1396. doi:10.1111/jbi.12514",,Magnolia kobus,2499524,20542555,SLA: undefined if petiole in- or excluded (1),54119.74,mm2/g,Single,Unknown,,54.11974,mm2 mg-1,3.56135,,Lauren,SLA,,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",Mori,Akira,Magnolia kobus,35037,6598,SLA,,,,,,,,,,,
79,307,Hokkaido leaf traits,"Mori, A. S., Shiono, T., Haraguchi, T. F., Ota, A. T., Koide, D., Ohgue, T., Kitagawa, R., Maeshiro, R., Aung, T. T., Nakamori, T., Hagiwara, Y., Matsuoka, S., Ikeda, A., Hishi, T., Hobara, S., Mizumachi, E., Frisch, A., Thor, G., Fujii, S., Osono, T. and Gustafsson, L. (2015), Functional redundancy of multiple forest taxa along an elevational gradient: predicting the consequences of non-random species loss. J. Biogeogr., 42: 1383–1396. doi:10.1111/jbi.12514",,Magnolia kobus,2499525,20542562,SLA: undefined if petiole in- or excluded (1),64354.51,mm2/g,Single,Unknown,,64.35451,mm2 mg-1,4.13931,,Lauren,SLA,,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",Mori,Akira,Magnolia kobus,35037,6598,SLA,,,,,,,,,,,
80,307,Hokkaido leaf traits,"Mori, A. S., Shiono, T., Haraguchi, T. F., Ota, A. T., Koide, D., Ohgue, T., Kitagawa, R., Maeshiro, R., Aung, T. T., Nakamori, T., Hagiwara, Y., Matsuoka, S., Ikeda, A., Hishi, T., Hobara, S., Mizumachi, E., Frisch, A., Thor, G., Fujii, S., Osono, T. and Gustafsson, L. (2015), Functional redundancy of multiple forest taxa along an elevational gradient: predicting the consequences of non-random species loss. J. Biogeogr., 42: 1383–1396. doi:10.1111/jbi.12514",,Magnolia kobus,2499526,20542569,SLA: undefined if petiole in- or excluded (1),32400.74,mm2/g,Single,Unknown,,32.40074,mm2 mg-1,2.08712,,Lauren,SLA,,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",Mori,Akira,Magnolia kobus,35037,6598,SLA,,,,,,,,,,,
85,95,The Tansley Review LMA Database,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",,Picea pungens,950885,5871212,SLA: undefined if petiole in- or excluded,470.723361,g/m2,Single,Various,,2.12439,mm2 mg-1,3.22496,,Lauren,SLA,,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",Poorter,Hendrik,Picea pungens,41937,6584,LMA (g/m2),,,,,,,,,,,
