X,Y,OBJECTID,ASSETID,TREEID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,HRMINTRST,WIRES,SP_SCIEN,SP_COMM,DBH,SIZE2UNIT,SIZE2CONF,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,FCODE,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.582869161,44.6435652170001,9556599,TRE141919,TRE141919,TRE,,,,WOOD,,OSP,Y,,SOAU,SOAU,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:28+00,2021/01/20 03:59:59+00,,IN
-63.581649242,44.6431241240001,9556600,TRE142196,TRE142196,TRE,,,,WOOD,,OSP,Y,,ULAM_P,ULAM_P,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:14+00,2021/01/20 03:59:59+00,,IN
-63.581101637,44.6433187740001,9556601,TRE142276,TRE142276,TRE,,,,WOOD,,OSP,Y,,ULAM_P,ULAM_P,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:15+00,2021/01/20 03:59:59+00,,IN
-63.580833608,44.643425419,9556602,TRE142073,TRE142073,TRE,,,,WOOD,,OSP,Y,,ULGL,ULGL,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:47+00,2021/01/20 03:59:59+00,,IN
-63.582569803,44.643117471,9556603,TRE142315,TRE142315,TRE,,,,WOOD,,OSP,Y,,MEGL,MEGL,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 16:06:57+00,2021/01/20 03:59:59+00,,IN
-63.581079561,44.642114291,9556604,TRE142335,TRE142335,TRE,,,,WOOD,,OSP,Y,,GIBI,,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 16:06:59+00,2021/01/20 03:59:59+00,,IN
-63.581702946,44.642176697,9556605,TRE141923,TRE141923,TRE,,,,WOOD,,OSP,Y,,COKO,COKO,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:07+00,2021/01/20 03:59:59+00,,IN
-63.581586414,44.6421868080001,9556606,TRE142325,TRE142325,TRE,,,,WOOD,,OSP,Y,,CHPI,CHPI,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 16:06:58+00,2021/01/20 03:59:59+00,,IN
-63.582217371,44.642531623,9556607,TRE142106,TRE142106,TRE,,,,WOOD,,OSP,Y,,ULGL_L,ULGL_L,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:47+00,2021/01/20 03:59:59+00,,IN
-63.580318738,44.6424415560001,9556608,TRE142321,TRE142321,TRE,,,,WOOD,,OSP,Y,,TSCA_J,TSCA_J,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 16:06:57+00,2021/01/20 03:59:59+00,,IN
-63.58087812,44.642730455,9556609,TRE142179,TRE142179,TRE,,,,WOOD,,OSP,Y,,PYCACH,PYCACH,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:34+00,2021/01/20 03:59:59+00,,IN
-63.5820033859999,44.64217261,9556610,TRE142089,TRE142089,TRE,,,,WOOD,,OSP,Y,,COKO,COKO,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:33+00,2021/01/20 03:59:59+00,,IN
-63.583791375,44.6426469830001,9556611,TRE141874,TRE141874,TRE,,,,WOOD,,OSP,Y,,ULGL,ULGL,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:15+00,2021/01/20 03:59:59+00,,IN
-63.582232409,44.6430440290001,9556612,TRE141944,TRE141944,TRE,,,,WOOD,,OSP,Y,,ULAM_P,ULAM_P,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 15:57:30+00,2021/01/20 03:59:59+00,,IN
-63.5810445399999,44.6426801750001,9556613,TRE142359,TRE142359,TRE,,,,WOOD,,OSP,Y,,CHPI,CHPI,,M,,INS,,The Public Gardens,,LCTS,2021/01/20 16:26:31+00,2021/05/19 16:07:01+00,2021/01/20 03:59:59+00,,IN
