code,botname
ACPL,Acer Platanoides
ACPLCO,Acer Platanoides 'columnare'
ACPLCR,Acer Platanoides 'Crimson kin
ACPLSC,Acer Platanoides 'schwedleri'
ACPS,Acer pseudoplatanus
ACSA1,Acer saccharinum
ACSA2,Acer saccharum
ACSA2G,Acer saccharum 'green mountai
AEHI,Aesculus Hippocastanum
AIAL,Ailanthus altissima
BEAL,Betula alleghaniensis
BELE,Betula lenta
BENI,Betula nigra
BEPA,Betula papyrifera
CA1,Carya
CACO,Carya cordiformis
CADE,Castanea dentata
CAOV,Carya ovata
CEOC,Celtis occidentalis
COCO2,Corylus colurna
FA,Fagus
FAGR,Fagus grandifolia
FASY,Fagus sylvatica
FR,Fraxinus
FRAM,Fraxinus americana
FRNI,Fraxinus nigra
FRPE,Fraxinus pennsylvanica
FRPES,Fraxinus pennsylvanica 'summi
GIBI,Ginkgo biloba
GLTR,Gleditisia triacanthos
GYDI,Gymnocladus dioicus
JUCI,Juglans cinerea
JUNI,Juglans nigra
JURE,Juglans regia
LADE,Larix decidua
LIST,Liguidambar styraciflua
LITU,Liriodendron tulipifera
MEGL,Metasequoia glyptostroboides
PLAC,Platanus hybrida
PLOC,Platanus occidentalis
PO,Populus
POAL,Populus alba
POBA,Populus balsamifera
PODE,Populus deltoides
POGR,Populus grandidentata
PONI,Populus nigra
PONIIT,Populus nigra 'italica'
POTR1,Populus tremuloides
PRSE1,Prunus serotina
QU,Quercus
QUAL,Quercus alba
QUEL,Quercus ellipsoidalis
QUIM,Quercus imbricaria
QUMA1,Quercus macrocarpa
QUPA,Quercus palustris
QURO,Quercus robur
QURU,Quercus rubra
ROPS,Robinia pseudoacacia
TADI,Taxodium distichum
TI,Tilia
TIAM,Tilia americana
TIPL,Tilia platyphyllos
TITO,Tilia tomentosa
ULAM,Ulmus americana
ULCAHO,Ulmus carpinifolia 'hollandic
ULPA,Ulmus parvifolia
ULPR,Ulmus procera
ULPU,Ulmus pumila
ULS,Elm
ZE,Zelkova
ZESE,Zelkova serrata
AC,Acer
ACCA,Acer Campestre
ACNE,Acer Negundo
ACRU,Acer Rubrum
ACRUAR,Acer Rubrum 'armstrong'
AECA,Aesculus x carnea
BE,Betula
BEPE,Betula pendula
BEPEGR,Betula pendula gracilis
BEPO,Betula populifolia
CABE,Carpinus betulus
CACA,Carpinus caroliniana
CASP,Catalpa speciosa
CEJA,Cercidiphyllum japonicum
MAAM9,Maackia amurensis
MOAL,Morus alba
NYSY,Nyssa sylvatica
OSVI,Ostrya virginiana
PHAM,Phellodendron amurense
SA,Salix
SABA,Salix x sepulcralis Simonkai
SAMA,Salix matsudana
SANI,Salix nigra
TICO,Tilia cordata
TICOGR,Tilia cordata 'greenspire'
ULAL,Ulmus alata
ULRU,Ulmus rubra
ACBU,Acer buergerianum
ACPA,Acer palmatum
ACPE,Acer pensylvanicum
AM,Amelanchier
AMAR,Amelanchier arborea
AMCA,Amelanchier canadensis
CO1,Cornus
COFL,Cornus florida
CR,Crataegus
CRMO2,Crataegus mollis 'scheele'
CRPH,Crataegus phaenopyrum
ELAN,Elaeagnus angustifolia
HAVI,Hamamelis virginiana
HISY,Hibiscus syriacus
KOPA,Koelreuteria paniculata
MA2,Malus
MAST,Magnolia stellata
PR,Prunus
PRAM,Prunus americana
PRCI,Prunus x cistena
PRMA,Prunus maackii
PRPE1,Prunus pensylvanica
PRPE2,Prunus persica
PRSA,Prunus sargentii
PRSE2,Prunus serrulata
PRTR,Prunus triloba
PRVI,Prunus virginiana
PRVISH,"Prunus virginianna ""Shubert"""
PYCA,Pyrus calleryana
PYCAAR,Pyruc calleryana 'Aristocrat'
PYCO,Pyrus communis
RHGL,Rhus glabra
RHTY,Rhus hirta
SOAM,Sorbus americana
SOAU,Sorbus aucuparia
SYRE,Syringa reticulata
MA1,Magnolia
ILOP,Ilex opaca
ILSP,Ilex
LISP,Ligustrum
AB,Abies
ABBA,Abies balsamea
ABCO,Abies concolor
AREX,Araucaria excelsa
CAEQ,Casuarina equisetifolia
CEDE,Cedrus deodara
PI1,Picea
PI2,Pinus
PIAB,Picea abies
PIGL1,Picea glauca
PIMA,Picea marina
PINI,Pinus nigra
PIPUGL,Picea pungens 'glauca'
PIST,Pinus strobus
PISY,Pinus sylvestris
PSME,Pseudotsuga menziesii
ULTH,Ulmus thomasii
CHTH,Chamaecyparis thyoides
JUVI,Juniperus virginiana
PIBA,Pinus banksiana
THOC,Thuja occdentalis
TSCA,Tsuga canadensis
TA,Taxus
AIKO,Abies koreana
ACGI,Acer ginnala
ACGR,Acer griseum
ACJA,Acer japonicum
ACPA_B,Acer palmatum 'Bloodgood'
ACPS_A,Acer pseudoplatanus var. Aureo‐variegatum
AMUT,Amelanchier x Grandiflora 'Autumn'
AREL,Aralia elata
ARSP,Aralia spinosa
BEUT_J,Betula utilis 'Jacquemontii'
CEAT_G,Cedrus atlantica 'Glauca'
CEATGP,Cedrus atlantica 'Glauca Pendula'
CELI,Cedrus libani
CELI_P,Cedrus libani 'Pendula'
CECA,Cercis canadensis
CHNO_P,Chamaecyparis nootkatensis 'Pendula'
CHOB_T,Chamaecyparis obtusa 'Tetragona'
CHPI,Chamaecyparis pisifera
CHPI_F,Chamaecyparis pisifera 'Filifera'
CHPI_P,Chamaecyparis pisifera 'Plumosa'
CHPI_A,Chamaecyparis pisifera var. Aurea
CHVI,Chionanthus virginicus
COKO,Cornus kousa
COMA2,Corylus maxima var. Purpurea
COCO1,Cotinus coggygria
CROX,Crataegus monogyna
CRMO_T,Crataegus mordensis 'Toba'
DAIN,Davidia involucrata
FASYPE,Fagus sylvatica 'Pendula'
FASYP,Fagus sylvatica 'Purpurea'
FASYPP,Fagus sylvatica 'Purpurea Pendula'
FREX,Fraxinus excelsior
FREX_P,Fraxinus excelsior 'Pendula'
HYPA_G,Hydrangea paniculata 'Grandiflora'
LAWA_V,Laburnum x watereri 'Vossii'
LALA,Larix laricina
MAAC,Magnolia acuminata
MADE_E,Magnolia denudata 'Elizabeth'
MASO,Magnolia soulangiana
MASO_G,Magnolia soulangiana 'Galaxy'
MASI,Magnolia stellata
MATR,Magnolia tripetala
MAPR,Malus 'Profusion'
MEGL_G,Metasequoia glyptostroboides 'Goldrush'
MOAL_P,Morus alba 'Pendula'
PIPU,Picea pungens
PIPU_P,Picea pungens 'Pendula'
PIRU,Picea rubens
PICE2,Pinus cembra
PIHE,Pinus heldreichii
