"","Species"
"1","Abies balsamea"
"2","Acer campestre"
"3","Acer ginnala"
"4","Acer macrophyllum"
"5","Acer negundo"
"6","Acer nigrum"
"7","Acer palmatum"
"8","Acer platanoides"
"9","Acer pseudoplatanus"
"10","Acer rubrum"
"11","Acer saccharinum"
"12","Acer saccharum"
"13","Acer sp."
"14","Acer tataricum"
"15","Acer truncatum"
"16","Acer x freemanii"
"17","Aesculus flava"
"18","Aesculus glabra"
"19","Aesculus hippocastanum"
"20","Aesculus x carnea"
"21","Allianthus altissima"
"22","Alnus glutinosa"
"23","Alnus hirsuta"
"24","Amelanchier canadensis"
"25","Amelanchier sp."
"26","Betula papyrifera"
"27","Betula pendula"
"28","Betula platyphylla"
"29","Betula populifolia"
"30","Betula sp."
"31","Caragana arborescens"
"32","Caragana sp."
"33","Carpinus betulus"
"34","Carpinus caroliniana"
"35","Carya cordiformis"
"36","Catalpa bignonioides"
"37","Catalpa speciosa"
"38","Celtis occidentalis"
"39","Cercidiphyllum japonicum"
"40","Cercis canadensis"
"41","Cladrastis kentukea"
"42","Cornus kousa"
"43","Cornus nuttallii"
"44","Corylus colurna"
"45","Crataegus lavallei  x"
"46","Crataegus mollis"
"47","Crataegus oxyacantha"
"48","Crataegus sp."
"49","Crataegus viridis"
"50","Crataegus x mordenensis"
"51","Elaeagnus angustifolia"
"52","Fagus grandifolia"
"53","Fagus sylvatica"
"54","Fraxinus americana"
"55","Fraxinus excelsior"
"56","Fraxinus mandshurica"
"57","Fraxinus nigra"
"58","Fraxinus ornus"
"59","Fraxinus oxycarpa"
"60","Fraxinus pennsylvanica"
"61","Fraxinus sp."
"62","Fraxinus x northern"
"63","Ginkgo biloba"
"64","Gleditsia triacanthos"
"65","Gymnocladus dioicus"
"66","Hedge sp."
"67","Hippophae rhamnoides"
"68","Juniperus sp."
"69","Juniperus virginiana"
"70","Larix laricina"
"71","Larix sibirica"
"72","Liquidambar styraciflua"
"73","Liriodendron chinense"
"74","Liriodendron tulipifera"
"75","Lonicera tatarica"
"76","Maackia amurensis"
"77","Magnolia kobus"
"78","Magnolia sp."
"79","Magnolia x soulangiana"
"80","Malus adstringens"
"81","Malus baccata"
"82","Malus floribunda"
"83","Malus pumila"
"84","Malus sargentii"
"85","Malus sp."
"86","Malus x adstringens"
"87","Malus x jefstar"
"88","Malus x rudolph"
"89","Malus x spring"
"90","Malus zumi"
"91","Metasequoia glyptostroboides"
"92","Morus alba"
"93","Morus sp."
"94","Nyssa sylvatica"
"95","Ostrya virginiana"
"96","Parrotia persica"
"97","Phellodendron amurense"
"98","Picea abies"
"99","Picea glauca"
"100","Picea mariana"
"101","Picea omorika"
"102","Picea pungens"
"103","Picea sp."
"104","Pinus aristata"
"105","Pinus banksiana"
"106","Pinus contorta"
"107","Pinus mugo"
"108","Pinus nigra"
"109","Pinus ponderosa"
"110","Pinus resinosa"
"111","Pinus sp."
"112","Pinus strobus"
"113","Pinus sylvestris"
"114","Pinus uncinata"
"115","Platanus x acerifolia"
"116","Populus alba"
"117","Populus angustifolia"
"118","Populus balsamifera"
"119","Populus deltoides"
"120","Populus grandidentata"
"121","Populus hybrida prairie skyrise"
"122","Populus jackii"
"123","Populus salicaceae"
"124","Populus sargentii"
"125","Populus sp."
"126","Populus tremula"
"127","Populus tremuloides"
"128","Populus tristis"
"129","Populus x canadensis"
"130","Prunus americana"
"131","Prunus avium"
"132","Prunus cerasifera"
"133","Prunus cerasus"
"134","Prunus maackii"
"135","Prunus nigra"
"136","Prunus padus"
"137","Prunus pennsylvanica"
"138","Prunus persica"
"139","Prunus sargentii"
"140","Prunus section"
"141","Prunus serrulata"
"142","Prunus sp."
"143","Prunus virginiana"
"144","Prunus x yedoensis"
"145","Pseudotsuga menziesii"
"146","Pyrus calleryana"
"147","Pyrus sp."
"148","Pyrus ussuriensis"
"149","Quercus alba"
"150","Quercus bicolor"
"151","Quercus coccinea"
"152","Quercus macrocarpa"
"153","Quercus palustris"
"154","Quercus phellos"
"155","Quercus robur"
"156","Quercus rubra"
"157","Quercus shumardii"
"158","Quercus sp."
"159","Quercus velutina"
"160","Rhamnus cathartica"
"161","Robinia pseudoacacia"
"162","Salix alba"
"163","Salix amygdalioides"
"164","Salix fragilis"
"165","Salix nigra"
"166","Salix pentandra"
"167","Salix sp."
"168","Sorbus americana"
"169","Sorbus aria"
"170","Sorbus aucuparia"
"171","Sorbus decora"
"172","Sorbus sp."
"173","Sorbus x thuringiaca"
"174","Styrax japonica"
"175","Syringa reticulata"
"176","Syringa sp."
"177","Thuja occidentalis"
"178","Thuja plicata"
"179","Tilia americana"
"180","Tilia cordata"
"181","Tilia euchlora   x"
"182","Tilia flavescens"
"183","Tilia mongolica"
"184","Tilia sp."
"185","Tilia tomentosa"
"186","Tilia x flavescens"
"187","Tsuga canadensis"
"188","Ulmus americana"
"189","Ulmus davidiana"
"190","Ulmus glabra"
"191","Ulmus parvifolia"
"192","Ulmus prospector"
"193","Ulmus pumila"
"194","Ulmus rubra"
"195","Ulmus sp."
"196","Ulmus x hollandica"
"197","Ulmus x homestead"
"198","Ulmus x morton"
"199","Ulmus x triumph"
"200","Unknown sp."
"201","Viburnum lentago"
