"","city","hood","fullname","n","freq_hood"
"1","Calgary","01b","Pinus sylvestris",2,100
"2","Calgary","02c","Fraxinus pennsylvanica",22,24.4444444444444
"3","Calgary","02c","Ulmus americana",68,75.5555555555556
"4","Calgary","02f","Betula sp.",2,2.35294117647059
"5","Calgary","02f","Fraxinus pennsylvanica",1,1.17647058823529
"6","Calgary","02f","Picea glauca",1,1.17647058823529
"7","Calgary","02f","Populus sp.",3,3.52941176470588
"8","Calgary","02f","Populus tremula",11,12.9411764705882
"9","Calgary","02f","Ulmus americana",67,78.8235294117647
"10","Calgary","09d","Unknown sp.",2,100
"11","Calgary","09h","Crataegus sp.",67,46.5277777777778
"12","Calgary","09h","Populus sp.",67,46.5277777777778
"13","Calgary","09h","Unknown sp.",9,6.25
"14","Calgary","09q","Picea pungens",80,1.74291938997821
"15","Calgary","09q","Populus sp.",159,3.4640522875817
"16","Calgary","09q","Unknown sp.",4299,93.6601307189542
"17","Calgary","12a","Larix sibirica",5,5.55555555555556
"18","Calgary","12a","Picea glauca",6,6.66666666666667
"19","Calgary","12a","Picea pungens",18,20
"20","Calgary","12a","Populus sp.",44,48.8888888888889
"21","Calgary","12a","Populus tremula",14,15.5555555555556
"22","Calgary","12a","Populus tremuloides",3,3.33333333333333
"23","Calgary","Abbeydale","Fraxinus pennsylvanica",285,23.1519090170593
"24","Calgary","Abbeydale","Malus sp.",34,2.76198212835093
"25","Calgary","Abbeydale","Picea glauca",51,4.1429731925264
"26","Calgary","Abbeydale","Picea pungens",172,13.9723801787165
"27","Calgary","Abbeydale","Pinus ponderosa",15,1.21852152721365
"28","Calgary","Abbeydale","Populus sp.",77,6.25507717303006
"29","Calgary","Abbeydale","Populus tremula",16,1.29975629569456
"30","Calgary","Abbeydale","Prunus virginiana",65,5.28025995125914
"31","Calgary","Abbeydale","Quercus macrocarpa",138,11.2103980503656
"32","Calgary","Abbeydale","Ulmus americana",234,19.0089358245329
"33","Calgary","Acadia","Acer negundo",15,1.00334448160535
"34","Calgary","Acadia","Betula papyrifera",20,1.33779264214047
"35","Calgary","Acadia","Crataegus sp.",56,3.74581939799331
"36","Calgary","Acadia","Fraxinus pennsylvanica",342,22.876254180602
"37","Calgary","Acadia","Malus sp.",44,2.94314381270903
"38","Calgary","Acadia","Picea glauca",177,11.8394648829431
"39","Calgary","Acadia","Picea pungens",283,18.9297658862876
"40","Calgary","Acadia","Populus sp.",91,6.08695652173913
"41","Calgary","Acadia","Populus tremula",21,1.40468227424749
"42","Calgary","Acadia","Prunus padus",31,2.07357859531773
"43","Calgary","Acadia","Prunus virginiana",112,7.49163879598662
"44","Calgary","Acadia","Ulmus americana",194,12.9765886287625
"45","Calgary","Albert Park/Radisson Heights","Acer negundo",68,7.06860706860707
"46","Calgary","Albert Park/Radisson Heights","Crataegus sp.",17,1.76715176715177
"47","Calgary","Albert Park/Radisson Heights","Crataegus x mordenensis",11,1.14345114345114
"48","Calgary","Albert Park/Radisson Heights","Elaeagnus angustifolia",10,1.03950103950104
"49","Calgary","Albert Park/Radisson Heights","Fraxinus pennsylvanica",143,14.8648648648649
"50","Calgary","Albert Park/Radisson Heights","Larix sibirica",28,2.91060291060291
"51","Calgary","Albert Park/Radisson Heights","Malus adstringens",11,1.14345114345114
"52","Calgary","Albert Park/Radisson Heights","Malus sp.",36,3.74220374220374
"53","Calgary","Albert Park/Radisson Heights","Picea glauca",93,9.66735966735967
"54","Calgary","Albert Park/Radisson Heights","Picea pungens",193,20.0623700623701
"55","Calgary","Albert Park/Radisson Heights","Populus jackii",10,1.03950103950104
"56","Calgary","Albert Park/Radisson Heights","Populus sp.",53,5.50935550935551
"57","Calgary","Albert Park/Radisson Heights","Prunus padus",12,1.24740124740125
"58","Calgary","Albert Park/Radisson Heights","Prunus virginiana",32,3.32640332640333
